"","Trait","n","eta2","omega2","sig","CV","bestclim","climsig","climvar","Type","climsig.binary","climcat","climcat.simp"
"1","PD",83,0.76,0.71,0,0.46,"30yr AET",0.108,0.132,"WS",1,"Supply","Water"
"2","MD",86,0.6,0.52,0,0.23,"WY PPT 2018",0.191,0.074,"WS",1,"Supply","Water"
"3","E.drop",82,0.66,0.58,0,0.59,"GS VPD 2018",0.011,0.245,"WS",16,"Demand","Water"
"4","mAl_As",60,0.45,0.32,0.001,0.29,"1m Soil Water Storage",0.02,0.187,"T",16,"Soil","Water"
"6","mml_ms",60,0.33,0.17,0.037,0.44,"Tmin 2018",0.012,0.176,"T",16,"Temp","Temp"
"7","mleafsize",60,0.51,0.39,0,0.43,"30yr PPT",0.026,0.197,"T",16,"Supply","Water"
"8","mLMA",60,0.48,0.35,0,0.12,"PAW",0.019,0.201,"T",16,"Soil","Water"
"9","mLDMC",40,0.66,0.58,0,0.07,"SP Tmax 2018",0.116,0.212,"T",1,"Temp","Temp"
"13","logLength",60,0.43,0.3,0.002,0.35,"Tmin 2018",0.043,0.145,"Gr",16,"Temp","Temp"
"15","perc_maxBAI",59,0.35,0.21,0.014,0.57,"30yr Tmin",0.01,0.186,"Gr",16,"Temp","Temp"
